genero;nivel_formacion;pais;rubro;dotacion;origen_capital;puesto;funcion_rh;anios_experiencia;tipo_contratacion;sueldo_bruto;satisfaccion;busqueda;tipo_cambio;multiplicador;sueldo_ft;sueldo_dolar;cuenta
Masculino;Maestría completa;Argentina;Minería (carbón, otra minería);15;Nacional;Jefe;Generalista;7;Full time;190000;4;No,  pero escucho ofertas;83.89;1;190000;2264.8706639647157;1
Masculino;Universitario completo;Argentina;"Agricultura; plantaciones,otros sectores rurales";320;Nacional;Gerente;Generalista;10;Full time;230000;NA;NA;83.89;1;230000;2741.6855405888664;1
Femenino;Universitario completo;Argentina;Minería (carbón, otra minería);150;Nacional;Jefe;Gestión de expatriados;8;Full time;70800;3;Sí, activamente;83.89;1;70800;843.9623316247466;1
Masculino;Universitario en curso;Argentina;Función pública;520;Nacional;Director;Generalista;6;Full time;60000;2;Sí, activamente;83.89;1;60000;715.222314936226;1
Femenino;Universitario completo;Argentina;Función pública;400;Nacional;Administrativo;Administración de personal;8;Full time;41000;2;No,  pero escucho ofertas;83.89;1;41000;488.7352485397544;1
Femenino;Universitario completo;Argentina;Construcción;50;Nacional;Responsable;Generalista;14;Full time;30000;3;No,  pero escucho ofertas;83.89;1;30000;357.611157468113;1
Femenino;Universitario completo;Argentina;"Agricultura; plantaciones,otros sectores rurales";65;Nacional;Responsable;Generalista;2;Full time;55000;4;No,  pero escucho ofertas;83.89;1;55000;655.6204553582072;1
Femenino;Universitario completo;Argentina;Comercio;110;Nacional;Responsable;Generalista;20;Full time;40000;3;Sí, activamente;83.89;1;40000;476.81487662415066;1
Masculino;Universitario completo;Argentina;"Alimentación; bebidas; tabaco";120;Nacional;Gerente;Generalista;13;Full time;245000;5;No estoy buscando cambiar;83.89;1;245000;2920.4911193229227;1
Femenino;Universitario completo;Argentina;Construcción;120;Nacional;Jefe;Generalista;14;Full time;100000;3;Sí, activamente;83.89;1;100000;1192.0371915603766;1
Femenino;Universitario completo;Argentina;Comercio;65;Multinacional;Jefe;Generalista;12;Full time;68000;2;Sí, activamente;83.89;1;68000;810.5852902610561;1
Femenino;Secundario completo;Argentina;"Alimentación; bebidas; tabaco";150;Nacional;Administrativo;Administración de personal;9;Full time;40000;4;No,  pero escucho ofertas;83.89;1;40000;476.81487662415066;1
Masculino;Universitario completo;Argentina;Educación;80;Nacional;Jefe;Generalista;4;Full time;30900;3;No,  pero escucho ofertas;83.89;1;30900;368.3394921921564;1
Femenino;Maestría en curso;Argentina;"Agricultura; plantaciones,otros sectores rurales";352;Nacional;Jefe;Generalista;12;Full time;105000;4;No,  pero escucho ofertas;83.89;1;105000;1251.6390511383954;1
Masculino;Maestría en curso;Ecuador;Industrias químicas;406;Multinacional;HRBP;Generalista;14;Full time;1400;4;No,  pero escucho ofertas;1;1;1400;1400;1
