id;fecha;genero;edad;nivel_formacion;carrera_grado;tipo_universidad;pais;provincia;trabajo;registro_fiscal;anios_freelance;lugar_trabajo;exporta;medio_pago_exterior;cuotas;colaboracion_freelance;servicio_busqueda;busqueda_it;trabajo_a_riesgo;coeficiente;base_coeficiente;garantia;servicio_principal;valor_hora
441;2021-11-05T16:44:53Z;Hombre cis;31 - 35;Maestría completa;Contador Público;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;Monotributista;1;Casa;No;PayPal;Si, frecuentemente;Si;No;NA;NA;NA;NA;NA;Payroll / Liquidación de sueldos;2500
460;2021-11-06T09:48:20Z;Mujer cis;31 - 35;Diplomado de posgrado completo;Comunicación social;Universidad Pública;Argentina;Buenos Aires;Freelance;Monotributista;1;Casa;Si;Payoneer;No;No;No;NA;NA;NA;NA;NA;Comunicación interna;1400
487;2021-11-07T23:29:28Z;Hombre cis;31 - 35;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;Monotributista;1;Casa;Si;Payoneer;No;Si;Si;Si;Si;1.2;Remuneración mensual del ingresante;No ofrezco garantía;NA;NA
494;2021-11-08T17:05:13Z;Mujer cis;36 - 40;Diplomado de posgrado completo;Administración de Empresas;Universidad Privada;Perú;NA;Freelance;Monotributista;3;Casa y oficina;No;No aplica;No;No;No;NA;NA;NA;NA;NA;Diseño organizacional;25
510;2021-11-09T11:19:46Z;Prefiero no responder;31 - 35;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Salta;Freelance;Monotributista;3;Casa;No;0;No;Si;Si;Si;Si;20;Remuneración mensual del ingresante;3 meses;NA;NA
523;2021-11-10T08:49:29Z;Mujer cis;25 - 30;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Freelance;Monotributista;1;Casa;Si;Payoneer;No;Si;Si;Si;No;50;Remuneración mensual del ingresante;3 meses;NA;NA
529;2021-11-10T18:40:35Z;Mujer cis;18 - 25;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Freelance;Monotributista;1;Casa;No;Transferencia a tu cuenta;No;Si;Si;Si;Si;30;Remuneración mensual del ingresante;1 mes;NA;NA
534;2021-11-11T10:14:57Z;Mujer cis;31 - 35;Diplomado de posgrado en curso;Y ahora Relaciones Laborales;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;Monotributista;1;Casa;No;No trabajo para afuera aún;Si, frecuentemente;No;Si;Si;Si;35;Remuneración mensual del ingresante;1 mes;NA;NA
537;2021-11-11T14:34:25Z;Mujer cis;55 - 60;Maestría completa;Ingeniería Industrial;Universidad Privada;Perú;NA;Freelance;Monotributista;1;Casa;No;Transferencia a tu cuenta;Si, frecuentemente;Si;No;NA;NA;NA;NA;NA;Comunicación interna;120
542;2021-11-11T20:12:34Z;Mujer cis;36 - 40;Diplomado de posgrado en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Neuquén;Freelance;Monotributista;2;Casa;No;No;No;Si;No;NA;NA;NA;NA;NA;Payroll / Liquidación de sueldos;2500
545;2021-11-11T23:50:23Z;Mujer cis;36 - 40;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;Monotributista;4;Casa;No;Transferencia a tu cuenta;No;No;Si;Si;No;45;Remuneración mensual del ingresante;1 mes;NA;NA
553;2021-11-15T09:07:17Z;Hombre cis;31 - 35;Diplomado de posgrado en curso;RRHH / RRLL / RRTT;Universidad Privada;Uruguay;NA;Freelance;Monotributista;0;Casa;Si;Prex;No;No;No;NA;NA;NA;NA;NA;People Analytics;8000
574;2021-11-17T21:48:37Z;Mujer cis;31 - 35;Diplomado de posgrado completo;Psicología;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Freelance;Monotributista;1;Casa;No;No exporto servicios;No;Si;Si;No;No;20;Remuneración mensual del ingresante;No ofrezco garantía;NA;NA
